year,programTitle,Program Code,PLU,Sum Credits,location,rawfte,fte,id,count
2010-11,ACEIT Welding,ACWELD,SCH,570,TE,0.678571429,0.7,---,1
2010-11,ACEIT Welding,ACWELD,SCH,1084.286,TE,1.290816667,1.3,---,1
2010-11,ACEIT Welding,ACWELD,SCH,1084.286,TE,1.290816667,1.3,---,1
2010-11,ACEIT Welding,ACWELD,SCH,1084.286,PR,1.290816667,1.3,---,1
2010-11,ACEIT Welding,ACWELD,SCH,1084.286,PR,1.290816667,1.3,---,1
2010-11,ACEIT Welding,ACWELD,SCH,1084.286,PR,1.290816667,1.3,---,1
2010-11,ACEIT Welding,ACWELD,SCH,300,PR,0.357142857,0.4,---,1
2010-11,ACEIT Welding,ACWELD,SCH,1084.286,PR,1.290816667,1.3,---,1
2010-11,ACEIT Welding,ACWELD,SCH,1084.286,PR,1.290816667,1.3,---,1
2010-11,ACEIT Welding,ACWELD,SCH,0,TE,0,0,---,1
2010-11,ACEIT Welding,ACWELD,SCH,0,TE,0,0,---,1
2010-11,ACEIT Welding,ACWELD,SCH,0,TE,0,0,---,1
2010-11,ACEIT Welding,ACWELD,SCH,0,TE,0,0,---,1
2010-11,ACEIT Welding,ACWELD,SCH,0,PR,0,0,---,1
2010-11,ACEIT Welding,ACWELD,SCH,4.5,TE,0.0075,0,---,1
2011-12,ACEIT Welding,ACWELD,SCH,1084.286,PR,1.290816667,1.3,---,1
2011-12,ACEIT Welding,ACWELD,SCH,1084.286,TE,1.290816667,1.3,---,1
2011-12,ACEIT Welding,ACWELD,SCH,1084.286,TE,1.290816667,1.3,---,1
2011-12,ACEIT Welding,ACWELD,SCH,1084.286,TE,1.290816667,1.3,---,1
2011-12,ACEIT Welding,ACWELD,SCH,4,PR,0.006666667,0,---,1
2011-12,ACEIT Welding,ACWELD,SCH,4,PR,0.006666667,0,---,1
2011-12,ACEIT Welding,ACWELD,SCH,10,PR,0.016666667,0,---,1
2011-12,ACEIT Welding,ACWELD,SCH,15,TE,0.025,0,---,1
2011-12,ACEIT Welding,ACWELD,SCH,4,TE,0.006666667,0,---,1
2011-12,ACEIT Welding,ACWELD,SCH,6,TE,0.01,0,---,1
2011-12,ACEIT Welding,ACWELD,SCH,6,TE,0.01,0,---,1
2011-12,ACEIT Welding,ACWELD,SCH,1084.286,PR,1.290816667,1.3,---,1
2011-12,ACEIT Welding,ACWELD,SCH,1084.286,PR,1.290816667,1.3,---,1
2011-12,ACEIT Welding,ACWELD,SCH,1084.286,PR,1.290816667,1.3,---,1
2011-12,ACEIT Welding,ACWELD,SCH,0,TE,0,0,---,1
2011-12,ACEIT Welding,ACWELD,SCH,0,TE,0,0,---,1
2011-12,ACEIT Welding,ACWELD,SCH,0,TE,0,0,---,1
2011-12,ACEIT Welding,ACWELD,SCH,0,PR,0,0,---,1
2011-12,ACEIT Welding,ACWELD,SCH,0,PR,0,0,---,1
2011-12,ACEIT Welding,ACWELD,SCH,0,PR,0,0,---,1
2011-12,ACEIT Welding,ACWELD,SCH,0,PR,0,0,---,1
2012-13,ACEIT Welding,ACWELD,SCH,17,PR,0.028333333,0,---,1
2012-13,ACEIT Welding,ACWELD,SCH,10,PR,0.016666667,0,---,1
2012-13,ACEIT Welding,ACWELD,SCH,17,PR,0.028333333,0,---,1
2012-13,ACEIT Welding,ACWELD,SCH,1088.572,TE,1.295919048,1.3,---,1
2012-13,ACEIT Welding,ACWELD,SCH,1088.572,TE,1.295919048,1.3,---,1
2012-13,ACEIT Welding,ACWELD,SCH,1088.572,TE,1.295919048,1.3,---,1
2012-13,ACEIT Welding,ACWELD,SCH,1088.572,TE,1.295919048,1.3,---,1
2012-13,ACEIT Welding,ACWELD,SCH,1088.572,TE,1.295919048,1.3,---,1
2012-13,ACEIT Welding,ACWELD,SCH,1088.572,PR,1.295919048,1.3,---,1
2012-13,ACEIT Welding,ACWELD,SCH,1032.858,PR,1.229592857,1.2,---,1
2012-13,ACEIT Welding,ACWELD,SCH,1088.572,PR,1.295919048,1.3,---,1
2012-13,ACEIT Welding,ACWELD,SCH,1088.572,PR,1.295919048,1.3,---,1
2012-13,ACEIT Welding,ACWELD,SCH,0,TE,0,0,---,1
2012-13,ACEIT Welding,ACWELD,SCH,0,TE,0,0,---,1
2012-13,ACEIT Welding,ACWELD,SCH,0,TE,0,0,---,1
2012-13,ACEIT Welding,ACWELD,SCH,0,TE,0,0,---,1
2012-13,ACEIT Welding,ACWELD,SCH,0,TE,0,0,---,1
2012-13,ACEIT Welding,ACWELD,SCH,0,PR,0,0,---,1
2012-13,ACEIT Welding,ACWELD,SCH,0,PR,0,0,---,1
2012-13,ACEIT Welding,ACWELD,SCH,0,PR,0,0,---,1
2012-13,ACEIT Welding,ACWELD,SCH,0,PR,0,0,---,1
