year,programTitle,Program Code,PLU,Sum Credits,location,sumFTE,abo,imm
2015-16,Applied Business Technology,ABT,SCH,111,TE,7.588888889,Y,00
2015-16,Applied Business Technology,ABT,SCH,226,TE,15.56666667,N,00
2015-16,Applied Business Technology,ABT,SCH,7.5,SM,0.522222222,N,01
2015-16,Applied Business Technology,ABT,SCH,29.5,SM,2.022222222,,00
2015-16,Applied Business Technology,ABT,SCH,57.5,SM,3.988888889,Y,00
2015-16,Applied Business Technology,ABT,SCH,23.5,SM,1.644444444,N,00
2015-16,Applied Business Technology,ABT,SCH,1,PR,0.033333333,,00
2016-17,Applied Business Technology,ABT,SCH,48,TE,0.08,N,00
2016-17,Applied Business Technology,ABT,SCH,20,HO,0.033333333,N,00
2016-17,Applied Business Technology,ABT,SCH,0,TE,0,Y,00
2016-17,Applied Business Technology,ABT,SCH,0,PR,0,Y,00
2016-17,Applied Business Technology,ABT,SCH,0,HO,0,Y,00
2016-17,Applied Business Technology,ABT,SCH,2,TE,0.133333333,N,02
2016-17,Applied Business Technology,ABT,SCH,3,TE,0.2,N,01
2016-17,Applied Business Technology,ABT,SCH,149,TE,10.2,,00
2016-17,Applied Business Technology,ABT,SCH,208.5,TE,14.4,Y,00
2016-17,Applied Business Technology,ABT,SCH,188.5,TE,12.78888889,N,00
2016-17,Applied Business Technology,ABT,SCH,7.5,SM,0.522222222,,00
2016-17,Applied Business Technology,ABT,SCH,22,SM,1.444444444,Y,00
2016-17,Applied Business Technology,ABT,SCH,3,SM,0.2,N,00
2009-10,Applied Coastal Ecology,ACE2,Credits,120.857,PR,0.157365885,N,00
2009-10,Applied Coastal Ecology,ACE,Credits,636.858,PR,0.829242188,Y,00
2009-10,Applied Coastal Ecology,ACE,Credits,196.714,PR,0.256138021,N,00
2009-10,Applied Coastal Ecology,ACE2,Credits,2,PR,0.045454545,,00
2009-10,Applied Coastal Ecology,ACE2,Credits,51,PR,1.159090909,N,00
2009-10,Applied Coastal Ecology,ACE2,Credits,3,ON,0.068181818,N,00
2009-10,Applied Coastal Ecology,ACE,Credits,62,PR,1.9375,,00
2009-10,Applied Coastal Ecology,ACE,Credits,68,PR,2.125,Y,00
2009-10,Applied Coastal Ecology,ACE,Credits,160,PR,5,N,00
2009-10,Applied Coastal Ecology,ACE,Credits,6,ON,0.1875,,00
2009-10,Applied Coastal Ecology,ACE,Credits,3,ON,0.09375,N,00
2010-11,Applied Coastal Ecology,ACE2,Credits,364.286,TE,0.474330729,N,00
2010-11,Applied Coastal Ecology,ACE,Credits,364.286,TE,0.474330729,Y,00
2010-11,Applied Coastal Ecology,ACE,Credits,351,PR,0.45703125,Y,00
2010-11,Applied Coastal Ecology,ACE,Credits,495.429,PR,0.645089844,N,00
2010-11,Applied Coastal Ecology,ACE2,Credits,12,PR,0.272727273,,00
2010-11,Applied Coastal Ecology,ACE2,Credits,18,PR,0.409090909,Y,00
2010-11,Applied Coastal Ecology,ACE2,Credits,75,PR,1.704545455,N,00
2010-11,Applied Coastal Ecology,ACE2,Credits,6,ON,0.136363636,N,00
2010-11,Applied Coastal Ecology,ACE,Credits,32,PR,1,,00
2010-11,Applied Coastal Ecology,ACE,Credits,101,PR,3.15625,Y,00
2010-11,Applied Coastal Ecology,ACE,Credits,240,PR,7.5,N,00
2010-11,Applied Coastal Ecology,ACE,Credits,3,ON,0.09375,Y,00
2010-11,Applied Coastal Ecology,ACE,Credits,9,ON,0.28125,N,00
2011-12,Applied Coastal Ecology,ACE2,Credits,271.286,PR,0.353236979,Y,00
2011-12,Applied Coastal Ecology,ACE,Credits,140.143,PR,0.182477865,,00
2011-12,Applied Coastal Ecology,ACE,Credits,507.143,PR,0.660342448,Y,00
2011-12,Applied Coastal Ecology,ACE,Credits,181.286,PR,0.236049479,N,00
2011-12,Applied Coastal Ecology,ACE2,Credits,27,PR,0.613636364,Y,00
2011-12,Applied Coastal Ecology,ACE2,Credits,38.5,PR,0.875,N,00
2011-12,Applied Coastal Ecology,ACE2,Credits,3,ON,0.068181818,Y,00
2011-12,Applied Coastal Ecology,ACE2,Credits,3,ON,0.068181818,N,00
2011-12,Applied Coastal Ecology,ACE,Credits,15.5,PR,0.484375,,00
2011-12,Applied Coastal Ecology,ACE,Credits,67,PR,2.09375,Y,00
2011-12,Applied Coastal Ecology,ACE,Credits,167,PR,5.21875,N,00
2011-12,Applied Coastal Ecology,ACE,Credits,3,ON,0.09375,Y,00
2011-12,Applied Coastal Ecology,ACE,Credits,3,ON,0.09375,N,00
2012-13,Applied Coastal Ecology,ACE2,Credits,270,PR,0.3515625,Y,00
2012-13,Applied Coastal Ecology,ACE,Credits,498.572,PR,0.649182292,Y,00
2012-13,Applied Coastal Ecology,ACE,Credits,624,PR,0.8125,N,00
2012-13,Applied Coastal Ecology,ACE2,Credits,6,PR,0.136363636,N,00
2012-13,Applied Coastal Ecology,ACE2,Credits,43,PR,1.023809524,Y,00
2012-13,Applied Coastal Ecology,ACE2,Credits,35,PR,0.833333333,N,00
2012-13,Applied Coastal Ecology,ACE,Credits,14,PR,0.4375,Y,00
2012-13,Applied Coastal Ecology,ACE,Credits,75,PR,2.34375,N,00
2013-14,Applied Coastal Ecology,ACE,Credits,111,PR,3.46875,N,00
2013-14,Applied Coastal Ecology,ACE,Credits,8,PR,0.25,Y,00
2013-14,Applied Coastal Ecology,ACE2,Credits,3,PR,0.071428571,N,00
2013-14,Applied Coastal Ecology,ACE2,Credits,27,PR,0.642857143,Y,00
2013-14,Applied Coastal Ecology,ACE,Credits,902.858,PR,1.175596354,N,00
2013-14,Applied Coastal Ecology,ACE2,Credits,272.572,PR,0.354911458,Y,00
2013-14,Applied Coastal Ecology,ACE,Credits,0,TE,0,N,00
2014-15,Applied Coastal Ecology,ACE,Credits,260.714,TE,0.339471354,Y,00
2014-15,Applied Coastal Ecology,ACE,Credits,364.286,PR,0.474330729,Y,00
2014-15,Applied Coastal Ecology,ACE,Credits,739.429,PR,0.962798177,N,00
2014-15,Applied Coastal Ecology,ACE2,Credits,31,PR,0.738095238,N,00
2014-15,Applied Coastal Ecology,ACE,Credits,3,TE,0.09375,N,00
2014-15,Applied Coastal Ecology,ACE,Credits,215,PR,6.71875,N,00
2015-16,Applied Coastal Ecology,ACE,Credits,308,SM,0.513333333,Y,00
2015-16,Applied Coastal Ecology,ACE,Credits,6370,OFSM,10.61666667,Y,00
2015-16,Applied Coastal Ecology,ACE,Credits,0,TE,0,Y,00
2015-16,Applied Coastal Ecology,ACE,Credits,62.857,PR,0.081845052,Y,00
2015-16,Applied Coastal Ecology,ACE,Credits,125.714,PR,0.163690104,N,00
2015-16,Applied Coastal Ecology,ACE2,Credits,3,PR,0.071428571,N,00
2015-16,Applied Coastal Ecology,ACE,Credits,2,PR,0.0625,Y,00
2015-16,Applied Coastal Ecology,ACE,Credits,13.5,PR,0.421875,N,00
2015-16,Applied Coastal Ecology,ACE,Credits,32,SM,1.333333333,Y,00
2015-16,Applied Coastal Ecology,ACE,Credits,59,PR,2.458333333,,00
2015-16,Applied Coastal Ecology,ACE,Credits,34,PR,1.416666667,Y,00
2015-16,Applied Coastal Ecology,ACE,Credits,163,PR,6.791666667,N,00
2016-17,Applied Coastal Ecology,ACE,Credits,34,PR,0.056666667,N,00
2016-17,Applied Coastal Ecology,ACE,Credits,385.429,PR,0.501860677,Y,00
