"","year","programTitle","Program Code","PLU","Sum Credits","location","sumFTE","abo","imm","cluster","studentType"
"117","2012-13","ACEIT Welding","ACWELD","SCH",1088.572,"TE",1.295919048,"Y","00","trades","fn"
"118","2012-13","ACEIT Welding","ACWELD","SCH",1088.572,"TE",1.295919048,NA,"00","trades",NA
"119","2012-13","ACEIT Welding","ACWELD","SCH",34,"PR",0.056666667,"N","00","trades",NA
"120","2012-13","ACEIT Welding","ACWELD","SCH",10,"PR",0.016666667,"Y","00","trades","fn"
"121","2013-14","ACEIT Welding","ACWELD","SCH",3265.716,"PR",3.887757143,"N","00","trades",NA
"122","2013-14","ACEIT Welding","ACWELD","SCH",2177.144,"PR",2.591838095,"Y","00","trades","fn"
"123","2013-14","ACEIT Welding","ACWELD","SCH",3265.716,"TE",3.887757143,"N","00","trades",NA
"124","2013-14","ACEIT Welding","ACWELD","SCH",4354.288,"TE",5.18367619,NA,"00","trades",NA
"125","2013-14","ACEIT Welding","ACWELD","SCH",292.857,"PR",0.381324219,"N","00","trades",NA
"126","2013-14","ACEIT Welding","ACWELD","SCH",665.429,"PR",1.109048333,"N","00","trades",NA
"127","2013-14","ACEIT Welding","ACWELD","SCH",22,"PR",0.036666667,"Y","00","trades","fn"
"128","2013-14","ACEIT Welding","ACWELD","SCH",0,"TE",0,NA,"00","trades",NA
"129","2013-14","ACEIT Welding","ACWELD","SCH",0,"TE",0,"N","00","trades",NA
"130","2013-14","ACEIT Welding","ACWELD","SCH",0,"PR",0,"Y","00","trades","fn"
"131","2013-14","ACEIT Welding","ACWELD","SCH",0,"PR",0,"N","00","trades",NA
"132","2009-10","Adult Special Education","ASE","SCH",8,NA,0.013333333,"Y","00","abe","fn"
"133","2009-10","Adult Special Education","ASE","SCH",781.002,"TE",1.084725,NA,"00","abe",NA
"134","2009-10","Adult Special Education","ASE","SCH",6234.72,"TE",8.659333333,"Y","00","abe","fn"
"135","2009-10","Adult Special Education","ASE","SCH",2449.432,"TE",3.401988889,"N","00","abe",NA
"136","2009-10","Adult Special Education","ASE","SCH",1020.001,"PR",1.416668056,NA,"00","abe",NA
"137","2009-10","Adult Special Education","ASE","SCH",1776.787,"PR",2.467759722,"Y","00","abe","fn"
"138","2009-10","Adult Special Education","ASE","SCH",1317.858,"PR",1.830358333,"N","00","abe",NA
"139","2009-10","Adult Special Education","ASE","SCH",28.5,"TE",0,NA,"00","abe",NA
"140","2009-10","Adult Special Education","ASE","SCH",294,"TE",0.0625,"Y","00","abe","fn"
"141","2009-10","Adult Special Education","ASE","SCH",120,"TE",0,"N","00","abe",NA
"142","2009-10","Adult Special Education","ASE","SCH",74,"PR",0,NA,"00","abe",NA
"143","2009-10","Adult Special Education","ASE","SCH",96,"PR",0,"Y","00","abe","fn"
"144","2009-10","Adult Special Education","ASE","SCH",57,"PR",0,"N","00","abe",NA
"145","2009-10","Adult Special Education","ASE","SCH",19,"KN",0,"Y","00","abe","fn"
"146","2010-11","Adult Special Education","ASE","SCH",12.5,"TE",0.020833333,"Y","00","abe","fn"
"147","2010-11","Adult Special Education","ASE","SCH",4,"PR",0.006666667,"Y","00","abe","fn"
"148","2010-11","Adult Special Education","ASE","SCH",12,"PR",0.02,"N","00","abe",NA
"149","2010-11","Adult Special Education","ASE","SCH",8,"PR",0.013333333,"N","00","abe",NA
"150","2010-11","Adult Special Education","ASE","SCH",7916.359,"TE",9.424236905,"Y","00","abe","fn"
"151","2010-11","Adult Special Education","ASE","SCH",1566.257,"TE",1.864591667,"N","00","abe",NA
"152","2010-11","Adult Special Education","ASE","SCH",1387.498,"PR",1.651783333,"Y","00","abe","fn"
"153","2010-11","Adult Special Education","ASE","SCH",1728.568,"PR",2.057819048,"N","00","abe",NA
"154","2010-11","Adult Special Education","ASE","SCH",316.5,"TE",0,"Y","00","abe","fn"
"155","2010-11","Adult Special Education","ASE","SCH",60.5,"TE",0.053571429,"N","00","abe",NA
"156","2010-11","Adult Special Education","ASE","SCH",67,"PR",0,"Y","00","abe","fn"
"157","2010-11","Adult Special Education","ASE","SCH",78,"PR",0,"N","00","abe",NA
"158","2011-12","Adult Special Education","ASE","SCH",31.5,"TE",0,"N","00","abe",NA
"159","2011-12","Adult Special Education","ASE","SCH",538.5,"TE",0,"Y","00","abe","fn"
"160","2011-12","Adult Special Education","ASE","SCH",796.217,"TE",0.947877381,"N","00","abe",NA
"161","2011-12","Adult Special Education","ASE","SCH",9494.965,"TE",11.30352976,"Y","00","abe","fn"
"162","2011-12","Adult Special Education","ASE","SCH",66,"GR",0.11,"Y","00","abe","fn"
"163","2011-12","Adult Special Education","ASE","SCH",26,"TE",0.043333333,"Y","00","abe","fn"
"164","2011-12","Adult Special Education","ASE","SCH",6,"TE",0.01,NA,"00","abe",NA
"165","2012-13","Adult Special Education","ASE","SCH",211.5,"TE",0.3525,"Y","00","abe","fn"
"166","2012-13","Adult Special Education","ASE","SCH",12,"TE",0.02,"N","00","abe",NA
"167","2012-13","Adult Special Education","ASE","SCH",8889.943,"TE",10.58326548,"Y","00","abe","fn"
"168","2012-13","Adult Special Education","ASE","SCH",2029.71,"TE",2.416321429,"N","00","abe",NA
"169","2012-13","Adult Special Education","ASE","SCH",139.629,"PR",0.166225,"N","01","abe",NA
"170","2012-13","Adult Special Education","ASE","SCH",425.5,"TE",0,"Y","00","abe","fn"
"171","2012-13","Adult Special Education","ASE","SCH",100.5,"TE",0,"N","00","abe",NA
"172","2013-14","Adult Special Education","ASE","SCH",0,"TE",0,NA,"00","abe",NA
"173","2013-14","Adult Special Education","ASE","SCH",0,"TE",0,"Y","00","abe","fn"
"174","2013-14","Adult Special Education","ASE","SCH",0,"TE",0,"N","00","abe",NA
"175","2013-14","Adult Special Education","ASE","SCH",1300,"TE",1.547619048,NA,"00","abe",NA
"176","2013-14","Adult Special Education","ASE","SCH",4400,"TE",5.238095238,"Y","00","abe","fn"
"177","2013-14","Adult Special Education","ASE","SCH",1800,"TE",2.142857143,"N","00","abe",NA
"178","2013-14","Adult Special Education","ASE","SCH",64,"TE",0,NA,"00","abe",NA
"179","2013-14","Adult Special Education","ASE","SCH",211.5,"TE",0,"Y","00","abe","fn"
